_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
71,tloykdwhth@example.com,United Kingdom,Education,Data Scientist/Analyst,Indirectly (We support clients or provide components for their digital twins),nDmrUNCMEC,WNrqTsurHrSyekGXCIdnhxlHfDOmXzmqpnMkZCYVEIEwBjGsjj,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",mRXeDyZWaT,Accountability,Explainability,zQsnSljTwU,No,Not Applicable,Lack of trust in partner organisation,Somewhat prepared,Agree,Visual Aids,Other,Neutral,Neutral,Neutral,I don’t know,Select,Very valuable,ViHISBwifQtVRJMRaJDXLxGZqwyWOKpxeBFifurwicIBGFXlHq,Developed by an external consultant,aJuSMittkZrweDXyrEWryCUnWQWJMAZWaFKZOiyClCxtvLEyNh,No,tHaKUpPItHpWNoTYlYMbtEALzAEqJeNJItbiljtxjJfOqydRfW,EXzTZhFjtEuLvXtFcDOufHXDqAzEBAeZmgMfuqLpLNSIGoBpvh,Other (Please specify),Awareness Programs for Assurance,JZghBluksqOnKVkzKIFHRugsudNoUKLwkHsfHmWVzEMFCDBomB,"['Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance']",2023-12-20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Slightly challenging,Very challenging,Not challenging at all,Slightly challenging,Extremely challenging,Very challenging,Extremely challenging,Slightly challenging,Moderately Relevant,Moderately Relevant,Extremely Relevant,Not Relevant,Extremely Relevant,Very Relevant,Slightly Relevant,Not Relevant,Moderately Relevant
72,rhowcfomll@example.com,United Kingdom,Renewable Energy,Other,Yes,pvksGcYsdY,dwpdPEfxZJQKkNHsSuvqwRUxFKLUulFjeEkJMgDVkOIJNecjmE,"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",bTqPhPTXQv,Explainability,Governance,FLNzMOwSuq,No,Not Applicable,Regulatory concerns around data protection,Somewhat unprepared,Strongly agree,Other,Meetings,Neutral,Neutral,Very satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Extremely valuable,sNeHuNHTcgBUuUYWlAFGSXSZURbvQdRhEuYKWWogkMWBigFcmU,"Consensus-based process (e.g., collaborative efforts of industry consortia)",xyVybZefJjQrmNFcVWUhroXXRRPmaDHarimFzPfpicgMRzjxCr,I need to know more about this tool to decide,dCxtPkJbNIsMuXFvxRFPmtcIwxuoTtXZssARbCBInggHeporBS,CdwVdJNTukvZQnrefkMHcdavYpWHvIkPGGEKGOjrhWhoCzpKVF,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,fcgyVlsZjkAyFgIllBzdvvtLzdejpTrULTLpdewXQypYeunAmk,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training']",2023-12-29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Very challenging,Extremely challenging,Extremely challenging,Not challenging at all,Extremely challenging,Very challenging,Extremely challenging,Not challenging at all,Not Relevant,Moderately Relevant,Slightly Relevant,Not Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Not Relevant,Extremely Relevant
73,fumbrnpfiq@example.com,United Kingdom,Renewable Energy,Semantic Web Technologist,Indirectly (We support clients or provide components for their digital twins),uTVjeJaAmv,KgEbHImfUIfSladrfYxZjPQkZQGFOCrgcSYfKiPwzspiXGKzJl,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Data Quality Checks (e.g., ensuring accuracy and reliability of data)",UuUHPzxGnq,Governance,Robustness,vtCMdYwWFo,Yes,Somewhat Difficult,Insufficient digital awareness/skills,Not prepared at all,Neutral,Not Systematically,Other,Neutral,Disagree,Somewhat satisfied,No,I've heard of them but don't know much.,Moderately valuable,YlZJaygZwNPZwbqXmsneyQnxxzelxwDMddVZCFIrkRGJfQgQta,Adapted existing framework / standards,gyKkjWPPCmRjBCctBbMEOyNmlXrdYjPAzftBAKCwruSvSVbAsD,I need to know more about this tool to decide,xEDZLTUoHHlKHHzvGBHveGzfJnvvJsTuDTSBpWyihlNQbcEZKL,LUMNLdgPVBFcLscpifJmrIeGuuDPGDZMwPlgmLDQhaIhjIWKrO,Business case justification,Step-by-Step Guidance / Skills Training,WxaTMyFXvmLLtiwksRuIirsQnMjNBHgANdBphonuBVTpIUmIUo,"['Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Value demonstration', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2021-08-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Slightly challenging,Slightly challenging,Not challenging at all,Very challenging,Slightly challenging,Slightly challenging,Very challenging,Slightly challenging,Very Relevant,Slightly Relevant,Extremely Relevant,Very Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Very Relevant,Slightly Relevant
74,jonvciqrkf@example.com,United Kingdom,Electricity,Middleware/API Developer,No,ysjGKNtYgZ,vqoftwllpLZZqkhQTGqhBoCnulraSdPusaTGgYnzRhsEggEIHR,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Information Security Reviews (e.g., safeguarding data and systems)",CjzjKuMPNp,Quality,Public Good,BffMshfLoD,Yes,Very Easy,Lack of trust in partner organisation,Neutral,Disagree,Meetings,Meetings,Neutral,Strongly agree,Very unsatisfied,Yes  / Something similar,This is the first time I've heard of them.,Moderately valuable,wIAZIRlhMkunnCVxURjabgaNPTopWyqsEtkDvptLTaCfXFAFVt,Reused existing framework / standards,AyTgzyOSymlYWEerILrqcYUVGdfVfZrhwNUOmOdWHUjmXszGYq,Yes,kQzpVsXqvWmQMRmCwcXJpKKdxCEAZTCrJFlsXMEHQAfMMqXxQQ,DNaTIATJQacQIaEWrdcqvbStMdSTdxpCLCzjHWsEKNvftdkRnT,Step-by-Step Guidance / Skills Training,Business case justification,xwbGhvzYQSdMLKqmtaTrNGZvwgfxvueEfwPUlWwpJrXlDvmhfU,"['Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Awareness Programs for Assurance', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-09-10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Moderately challenging,Extremely challenging,Not challenging at all,Moderately challenging,Extremely challenging,Very challenging,Slightly challenging,Not challenging at all,Very Relevant,Very Relevant,Extremely Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Not Relevant
75,ibuuotiryx@example.com,United Kingdom,Technology,Industry Consultant/Advisor,Indirectly (We support clients or provide components for their digital twins),ilQFaPqLiA,GNFopOPBXuGRPIwstpAlMaebnYYodTBWpUCbkuMffSzkEYSUJO,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",ZlUrQkYXSZ,Governance,Public Good,EHraJOsfMI,Yes,Very Easy,Loss of control of data,Very prepared,Strongly disagree,Written Reports following established standards,Digital Communications,Disagree,Strongly agree,Very satisfied,No,I've seen them but don't use them in my work.,Extremely valuable,eNgnHKlndSaZjpULXLdNnOnklWqXQeOEQVTbONTyCjvpqfgILS,Select,NndfzCsRnsQuCEVVvHwdBQDTpVnCpUAULjArmbXqDKsNtaZGlD,I need to know more about this tool to decide,EpbOwqbnHJpLTyUpzVeOcLqLVRSiXsbJPOryhawZnkWBtYBYxZ,oJwmhBfRFFernpZWBAhKgohRAwSIhiRlnUjfWzkMdwBhXKcsQl,Awareness Programs for Assurance,Business case justification,DjLafhiQOPeQnPnOAENUsztMBRKQlBwePlpISshXTvUmcHoUIe,"['Value demonstration', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-02-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Moderately challenging,Slightly challenging,Not challenging at all,Slightly challenging,Slightly challenging,Not challenging at all,Slightly challenging,Very challenging,Moderately Relevant,Slightly Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Extremely Relevant,Very Relevant,Extremely Relevant,Not Relevant
76,tisdyabtlo@example.com,Germany,Education,Middleware/API Developer,Yes,qhqwODhxbv,EaeKZRDbCZxhwMnJjHSKNxVLbEcCVyPQJGIsZLihJvhITvPJYW,Other (Please specify),"Service Continuity Management (e.g., ensuring ongoing operational reliability)",NxsMNTSiMR,Safety,Evolution,XTkpTqwwVP,Yes,Very Easy,Unclear business case and issues around fairly distributed return on investment,Not prepared at all,Strongly disagree,Visual Aids,Digital Communications,Strongly agree,Agree,Very satisfied,Yes  / Something similar,This is the first time I've heard of them.,Not valuable at all,RNqOSRNpKvryuNkHeYDqlfwXDVIUZKnwtaiflYzaNbLPvzMIip,Select,JQBPkgfTEfKAOpsWbEipPZDGcKCqxfVhKJKPNsQCIrWvkSTomb,No,MSAKObbAKILKaBJggYlTQEoCSdFrJvOSZLmeHxRsUnZRLonoWh,DdfdUORbKtIYwPvXZwkmZowgHKaRCFdLDbECeidCHDuizuKbyw,Other (Please specify),Step-by-Step Guidance / Skills Training,fjMqYvFgTclxZChRFMZZVpAKsEUODvRLcySrPrwrOmDirmcXqd,"['Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance']",2021-08-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Slightly challenging,Not challenging at all,Not challenging at all,Extremely challenging,Slightly challenging,Very challenging,Moderately challenging,Slightly challenging,Extremely challenging,Extremely Relevant,Moderately Relevant,Moderately Relevant,Moderately Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Extremely Relevant,Not Relevant
77,vsmwtaosgb@example.com,United Kingdom,Technology,Ontology Engineer/Framework Architect,Yes,lvbZpcDJSy,IstjuPUvtNwMpNYNpiZZEgkppLVtREgubaSxYlNOBMqZsZygkV,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",MKCNyusyVX,Transparency,Evolution,GWvbAyyLwH,Yes,Not Applicable,Info security etc,Very prepared,Strongly agree,Other,Interactive Platforms,Strongly disagree,Neutral,Very satisfied,No,I've seen them but don't use them in my work.,Extremely valuable,QBKpuTeeLzMfaMndQKrennoTSCPLDDslUHdcsZYNBihbKtXshj,Select,qHYptSfQCfHFaasPvAdbnQOFykAkrOIJzECkrxgOtnlowSqwPO,No,XSBcmNrRCmaFNyDzAcBkHawlVjeKsEfQHNwSDNRkTxXYKmcelm,yvIcNxYqUciDvznNGXSQjpaqYxTzKOgzhSAAtvibpFEymymCjq,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,bxvVUDESsqgdmsVOnPjzOMHfFksWRiiuhiASDNkeLUIkzjYNiM,"['Awareness Programs for Assurance', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Value demonstration']",2022-07-19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Slightly challenging,Extremely challenging,Very challenging,Moderately challenging,Slightly challenging,Extremely challenging,Extremely challenging,Moderately challenging,Slightly challenging,Moderately Relevant,Not Relevant,Very Relevant,Slightly Relevant,Very Relevant,Not Relevant,Extremely Relevant,Very Relevant,Not Relevant
78,hvzgtaddiz@example.com,United Kingdom,Technology,Industry Consultant/Advisor,Indirectly (We support clients or provide components for their digital twins),mKOyMrVnTD,pQWTUNOGXzFgXhatSjYgVgfcZIkWyJkBPCdpSefCuKVmbnIcLd,"Information Security Reviews (e.g., safeguarding data and systems)","Data Quality Checks (e.g., ensuring accuracy and reliability of data)",yOusPXcKla,Openness,Sustainability,zPTxwmogGb,No,Very Easy,Concerns re confidentiality of data,Somewhat unprepared,Strongly disagree,Non-standardized written Reports,Digital Communications,Strongly disagree,Agree,Somewhat satisfied,No,I've heard of them but don't know much.,Moderately valuable,AlCRyAWsMcbvrClKqGuKlBraEHhEbYyKuQXtscMcIbbWAyZTrG,Select,HpINbHtGiRnskcaqhCebwPMFLucxaWxRttEcjgDxBErdJMOnXc,I need to know more about this tool to decide,XakwwYJAnBvKGqFRVejzxSFpOjMDFTvyTvorjqhMuTdTKTXbat,pThSTiAuNJpAXfQIjnYTBdsbRpffAdlzFNDgglOZgkGADiCohb,Other (Please specify),Business case justification,rTxXMbxgEHeoxVIFQxUipDgQkGGNhBALgAmdRxsEVRlhSPujZr,"['Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Business case justification', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2020-03-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Not challenging at all,Extremely challenging,Not challenging at all,Very challenging,Not challenging at all,Extremely challenging,Not challenging at all,Moderately challenging,Not Relevant,Moderately Relevant,Very Relevant,Extremely Relevant,Extremely Relevant,Very Relevant,Very Relevant,Not Relevant,Not Relevant
79,wcqjblhink@example.com,Mexico,Technology,Project/Program Manager,Indirectly (We support clients or provide components for their digital twins),MukJzMXmZp,xzVxkmzUaIxSNApfNNhRIHCplFOkiBscGilUWvVtvjQQwNGRNT,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)","Formal Verification (e.g., rigorously proving system properties)",hloidFUMMT,Value Creation,Sustainability,IgyPXWTjzo,No,Very Difficult,Unclear business case and issues around fairly distributed return on investment,Neutral,Disagree,Visual Aids,Other,Agree,Strongly disagree,Very unsatisfied,Yes  / Something similar,I incorporate them in my work as guidelines.,Slightly valuable,qbKiuqYhzeHGVmWTkgVMgEEJRGzBozYYRhvPyxMIZOXvZDncxy,"Consensus-based process (e.g., collaborative efforts of industry consortia)",olcrHeHcmpMylwblIkvztpJMhhjZwAYqTCHKQvjaSxUAsYKokD,I need to know more about this tool to decide,OAXCWhiDYaQNzdsSpyyEEzhOQhQgwHBMCOCtsZIeDlIgBKWnLe,oPMeOkoiMRYRbzVnMgXBvsieHKqAXkptorRRbvSBZxcWAsFIsv,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Other (Please specify),KMJAvEoAylFhHzWTTQaOhPGqGNPTVBTsjHwmlLMgzihJdsGuai,"['Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance']",2020-10-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very challenging,Extremely challenging,Not challenging at all,Very challenging,Slightly challenging,Not challenging at all,Moderately challenging,Slightly challenging,Very challenging,Extremely Relevant,Slightly Relevant,Slightly Relevant,Very Relevant,Very Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Slightly Relevant
80,ygrslovnoe@example.com,United Kingdom,Technology,Platform Developer,Yes,cbYBRCslqE,zARncLWYzJhYvyDdBRNOvumrLmPIoXIfWsKSEzTupOiDqlAcgR,"Information Security Reviews (e.g., safeguarding data and systems)",Stakeholder Feedback Systems,NmPdCWOsYv,Explainability,Value Creation,LusaTLpWiH,Yes,Very Difficult,Client Sponsor,Somewhat prepared,Neutral,Other,Digital Communications,Strongly agree,Disagree,Very unsatisfied,No,This is the first time I've heard of them.,Not valuable at all,tgMItUSBxhzMPpcosHTRVvqzRUmRtTdNQolAMvPfqFXynDWKFS,Developed by an external consultant,cBncJtnYBvPfSXdbbiXLWoPiqDGiOWtXMapRvczQTdaKgQDBaJ,No,FeGhUxsyhATvxXhtqfaRHBWOCgpfGNqZstEToodLtQGvKBTXOO,TTQhOBgdrEPlSLbnSiOFoTxWNfFjJHlCRtCxmLOaxWGyYnHdZQ,Tools to easily create Assurance Cases,Step-by-Step Guidance / Skills Training,KaXvdZugHTMGGXOaTmSkVoeIMqukXVGTnkZveAgqQmbNkCrazJ,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Step-by-Step Guidance / Skills Training']",2022-11-22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Moderately challenging,Slightly challenging,Not challenging at all,Extremely challenging,Very challenging,Very challenging,Extremely challenging,Extremely challenging,Slightly Relevant,Extremely Relevant,Not Relevant,Not Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Very Relevant
81,tlxzxfeuqj@example.com,Argentina,Construction,Developer/Engineer,Indirectly (We support clients or provide components for their digital twins),FVyFsQvIOO,WBdOJLROfgEhvjFwTDGVzDGzovWxNUwEuDwFxWFuXtkWlYrOYO,"Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)","Compliance Audits (e.g., verifying adherence to laws and regulations)",MBohUdJDyz,Data Stewardship,Openness,bDgSRbVmNc,No,Somewhat Easy,Lack of trust in partner organisation,Neutral,Agree,Meetings,Non-standardized written Reports,Strongly disagree,Strongly disagree,Very satisfied,No,I incorporate them in my work as guidelines.,Not valuable at all,YZYVAjuiphAMOLZMTFYmkaqJeKVzYSNaydGLeCyWniZQzOwLnN,Select,ZrUYPFnfMnssBhRkPftXqJRTXeAYHWJPkCHHxXHoqlnaWYETns,I need to know more about this tool to decide,CPuAdubUTxMwUzoQpueqiLQjqUmFsuiiptZJQGfpqlmGKBQABf,GmonYNCrdgryZgqAbXTHPoRAJnwoaVbZhiSOyDpbDIpLBbCtQZ,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Tools to easily create Assurance Cases,nYRutFIJvnDEIgZOAZymHhvAyiuXSBZicOeJIrputpZnfgQEle,"['Tools to easily create Assurance Cases', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance']",2022-02-22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Extremely challenging,Moderately challenging,Not challenging at all,Very challenging,Slightly challenging,Very challenging,Slightly challenging,Very challenging,Moderately challenging,Not Relevant,Not Relevant,Moderately Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Slightly Relevant,Slightly Relevant,Moderately Relevant
82,vvujlsmwwr@example.com,Spain,Technology,Ontology Engineer/Framework Architect,No,eVolPeiloj,BAexgKPDFGvwCYSinsMvDKmZzvGTIhvTtQKxpjqvdbInTYAQyA,Stakeholder Feedback Systems,"Impact Assessment (e.g., assessing effects on stakeholders and environments)",JpYPDhbvIJ,Evolution,Governance,mJyDjZhytl,No,Somewhat Easy,Loss of control of data,Not prepared at all,Disagree,Other,Digital Communications,Strongly agree,Agree,Somewhat satisfied,I don’t know,I incorporate them in my work as guidelines.,Not valuable at all,ZJZedtzcrjAxyjPIpRJmVLIkKsMdGkXEhvUPdoSMPbFhxonIaQ,"Consensus-based process (e.g., collaborative efforts of industry consortia)",ytQEeUSFJVgEhUywEZzfLVnGpDxpDYqFAKcPskoSEAWvoCNWYT,No,ceunATCAcVTjGdaRGrUTAMApPkSPSutkEVSivAYvbOFfEwwKNl,RbWpnonrEhgJGfAArOTnVGXGEFhanDoddmULcbPRMLXJbRQoWZ,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,SWWBuOtufpyeoJyjmWFdGQOsYShliQTVWPAydlRgtxNzIPmJRo,"['Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Business case justification']",2023-10-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Very challenging,Slightly challenging,Very challenging,Moderately challenging,Not challenging at all,Slightly challenging,Moderately challenging,Very challenging,Very Relevant,Very Relevant,Not Relevant,Very Relevant,Very Relevant,Very Relevant,Moderately Relevant,Extremely Relevant,Not Relevant
83,kamycltmqq@example.com,Vietnam,Technology,Ontology Engineer/Framework Architect,No,WsrnmBpnXs,CNrSIGkprnCLBsBVkrNCIeSnvlNVhxKaDTkPGqmUYnBzRqoxeK,"Conformity Assessments (e.g., alignment with standards and expectations)","Service Continuity Management (e.g., ensuring ongoing operational reliability)",RkrwJtKsHM,Sustainability,Openness,UhkODXMbnw,No,Very Difficult,Unclear business case and issues around fairly distributed return on investment,Not prepared at all,Agree,Digital Communications,Meetings,Neutral,Strongly agree,Somewhat unsatisfied,No,I've seen them but don't use them in my work.,Moderately valuable,ffDajgSvXFtPEVcRCMTleFZktnFmfohLywzJrvittcAKpDEuhx,"Consensus-based process (e.g., collaborative efforts of industry consortia)",nGquUIVxxclPclnFKilQXhviOPIeKyjylCTSNpMGfLUtDfqGYD,Yes,KGFJbTrCpCeWNBwoNGOXCDKdHhmLVmJRPhYvSDHlSKQAlUtiaI,ZgbRmPNuLLYQbPICQMGwBMrVIJLtNQObwgdpKgwOzNYsoVuedE,Awareness Programs for Assurance,Business case justification,WPmJKZADmccwVjNMwhZTafRaYiUwjCmdtrzrIOqekdWmNEKXNE,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Business case justification']",2023-09-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderately challenging,Slightly challenging,Not challenging at all,Moderately challenging,Slightly challenging,Extremely challenging,Moderately challenging,Slightly challenging,Extremely challenging,Moderately Relevant,Moderately Relevant,Very Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Not Relevant
84,wefvgxxlyj@example.com,United Kingdom,Renewable Energy,Other,Indirectly (We support clients or provide components for their digital twins),bjPClVJmGR,VlVFneYjoTegGKJrqIigxJJtllfWJcqPuAEzgDbfMdMtYovfSd,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",wQLRGSshQI,Evolution,None,pwMNTBXejp,No,Very Difficult,Lawyer mis-alignment / legal agreement barriers,Very prepared,Neutral,Visual Aids,Interactive Platforms,Disagree,Disagree,Somewhat satisfied,Yes  / Something similar,I have helped develop them.,Not valuable at all,MjLImvzufNDySJAydExTuaQHgXJRbxyknRwSaeAYRLNTdiGgFz,Adapted existing framework / standards,pMqQRRnukYITbgGlUBYbCBvTLvXKfLZpTMnqtDFNhTBDOILxRO,I need to know more about this tool to decide,ZHoXFbLjcBylRzFrystlWyAELucXJkUSmLEbEiaKDTtgsbQZuZ,avRRSBMaTuVilnVDoQgPakzMWnvgRhpbSyZaMDKAOmxPsKrQdv,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,SXKdPOitSvsoTQJmlJBeaqpJfIrRXxnUdqOuSZQKKvBEkxiwMB,"['Business case justification', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-08-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderately challenging,Moderately challenging,Very challenging,Extremely challenging,Slightly challenging,Slightly challenging,Not challenging at all,Slightly challenging,Slightly challenging,Not Relevant,Not Relevant,Not Relevant,Moderately Relevant,Very Relevant,Extremely Relevant,Very Relevant,Very Relevant,Moderately Relevant
85,xwhlurydew@example.com,South Korea,Education,Governance Specialist,No,KzGKQDEcnW,WAPtKIMzqjMkJOqDZkwSKfPSYnjjpXbIluNvJcgoUJWkbBtWIU,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",Stakeholder Feedback Systems,MyyPiuCfRb,Transparency,Evolution,mSIcVpjQFS,No,Somewhat Easy,Technical architecture,Somewhat unprepared,Neutral,Other,Digital Communications,Disagree,Neutral,Neutral,I don’t know,I've seen them but don't use them in my work.,Not valuable at all,bDVrOtTTHVYnqPqUeMdKBoAaOJwFRwYHAAJaHElmXPLlraupRJ,"Consensus-based process (e.g., collaborative efforts of industry consortia)",wDomOBPWuMXgiXthUrIEaCPqCfssMzaKzNgVnxlyeVGfokAGOT,No,yOzigOmlYOTTYLdhCVUJZhyLQucMUyumSvKUbdYNRuEaXLjdmP,wPAIUXDcAajpmojoSbtCCUzptRliJTTDQPowptOXaQSfetuMBf,Step-by-Step Guidance / Skills Training,Tools to easily create Assurance Cases,oNWPDiwpUmlDgARemeaIJVULpOJjEPlrsGOGvrlsLbhRuCJwGZ,"['Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Awareness Programs for Assurance', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2020-08-14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Very challenging,Very challenging,Very challenging,Very challenging,Extremely challenging,Slightly challenging,Very challenging,Moderately challenging,Not challenging at all,Not Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Very Relevant,Very Relevant,Not Relevant,Not Relevant,Moderately Relevant
